entity:sample_id	channel_model	code_length	n_types	min_hamming_weight	max_hamming_weight	metric_type	source_nonuniformity	lowest_energy_sa	rand_state_energy_loc	rand_state_energy_scale	i_iter	i_cycle	lowest_energy_var
channel_bac_merfish__8__2__6__64__100__20__fdr	channel_bac_merfish	8	64	2	6	fdr	100.0	0.3749100565910339	0.5203141570091248	0.0103481523692607	245661	25	0.4131511449813843
channel_bac_merfish__8__2__6__64__10__20__fdr	channel_bac_merfish	8	64	2	6	fdr	10.0	0.3563076555728912	0.4545325338840484	0.0080514196306467	243622	25	0.3934180736541748
channel_bac_merfish__9__1__8__128__1000__20__fdr	channel_bac_merfish	9	128	1	8	fdr	1000.0	0.4541626572608948	0.6335093379020691	0.0069376016035676	244568	25	0.506786584854126
channel_bac_merfish__9__1__8__128__100__20__fdr	channel_bac_merfish	9	128	1	8	fdr	100.0	0.4259803295135498	0.5676702857017517	0.0065719741396605	243236	25	0.46851497888565063
channel_bac_merfish__9__1__8__128__10__20__fdr	channel_bac_merfish	9	128	1	8	fdr	10.0	0.4098251461982727	0.5047308802604675	0.005252038128674	241460	25	0.452376127243042
channel_bac_merfish__9__1__8__16__1000__20__fdr	channel_bac_merfish	9	16	1	8	fdr	1000.0	0.105268970131874	0.2876805365085602	0.0338705740869045	145286	12	0.15781867504119873
channel_bac_merfish__9__1__8__16__100__20__fdr	channel_bac_merfish	9	16	1	8	fdr	100.0	0.0870191231369972	0.2200431823730468	0.0273865740746259	122889	12	0.11580955982208252
channel_bac_merfish__9__1__8__16__10__20__fdr	channel_bac_merfish	9	16	1	8	fdr	10.0	0.0752574875950813	0.1746649891138076	0.0200469568371772	128112	13	0.09629321098327637
channel_bac_merfish__9__1__8__32__1000__20__fdr	channel_bac_merfish	9	32	1	8	fdr	1000.0	0.205667108297348	0.3998787105083465	0.021803256124258	524572	25	0.2565615177154541
channel_bac_merfish__9__1__8__32__100__20__fdr	channel_bac_merfish	9	32	1	8	fdr	100.0	0.1693326979875564	0.3244873881340027	0.0186922680586576	254534	22	0.20866525173187256
channel_bac_merfish__9__1__8__32__10__20__fdr	channel_bac_merfish	9	32	1	8	fdr	10.0	0.1478374451398849	0.2694718241691589	0.014081560075283	248626	25	0.18680262565612793
channel_bac_merfish__9__1__8__64__1000__20__fdr	channel_bac_merfish	9	64	1	8	fdr	1000.0	0.3342145085334778	0.519742488861084	0.0128743276000022	250703	25	0.3709472417831421
channel_bac_merfish__9__1__8__64__100__20__fdr	channel_bac_merfish	9	64	1	8	fdr	100.0	0.3003649115562439	0.444488376379013	0.0115972124040126	246351	25	0.33797645568847656
channel_bac_merfish__9__1__8__64__10__20__fdr	channel_bac_merfish	9	64	1	8	fdr	10.0	0.2765370011329651	0.3827773928642273	0.0090051842853426	246315	25	0.3114593029022217
channel_bac_merfish__9__2__7__128__1000__20__fdr	channel_bac_merfish	9	128	2	7	fdr	1000.0	0.4549487233161926	0.6340178847312927	0.0069105806760489	244371	25	0.506786584854126
channel_bac_merfish__9__2__7__128__100__20__fdr	channel_bac_merfish	9	128	2	7	fdr	100.0	0.4278480410575866	0.5684357285499573	0.0065512573346495	242591	25	0.46851497888565063
channel_bac_merfish__9__2__7__128__10__20__fdr	channel_bac_merfish	9	128	2	7	fdr	10.0	0.4107445478439331	0.505728542804718	0.0052035264670848	241873	25	0.452376127243042
channel_bac_merfish__9__2__7__16__1000__20__fdr	channel_bac_merfish	9	16	2	7	fdr	1000.0	0.105268970131874	0.2883872389793396	0.0337899178266525	189707	15	0.15781867504119873
channel_bac_merfish__9__2__7__16__100__20__fdr	channel_bac_merfish	9	16	2	7	fdr	100.0	0.0870191231369972	0.220492735505104	0.0273474510759115	191047	18	0.11580955982208252
channel_bac_merfish__9__2__7__16__10__20__fdr	channel_bac_merfish	9	16	2	7	fdr	10.0	0.0753192156553268	0.1751999258995056	0.0201793164014816	168336	17	0.09629321098327637
channel_bac_merfish__9__2__7__32__1000__20__fdr	channel_bac_merfish	9	32	2	7	fdr	1000.0	0.2078391760587692	0.4004890024662018	0.0218423139303922	420334	25	0.2565615177154541
channel_bac_merfish__9__2__7__32__100__20__fdr	channel_bac_merfish	9	32	2	7	fdr	100.0	0.1693243682384491	0.3252419233322143	0.0186786893755197	224102	19	0.20866525173187256
