entity:sample_id	channel_model	code_length	n_types	min_hamming_weight	max_hamming_weight	metric_type	source_nonuniformity	lowest_energy_sa	rand_state_energy_loc	rand_state_energy_scale	i_iter	i_cycle
channel_bac_merfish__9__1__8__16__100__20__fdr	channel_bac_merfish	9	16	1	8	fdr	100.0	0.08701912313699722	0.22004318237304688	0.02738657407462597	122889	12
channel_bac_merfish__9__1__8__16__10__20__fdr	channel_bac_merfish	9	16	1	8	fdr	10.0	0.07525748759508133	0.17466498911380768	0.020046956837177277	128112	13
channel_bac_merfish__9__1__8__32__1000__20__fdr	channel_bac_merfish	9	32	1	8	fdr	1000.0	0.20566710829734802	0.39987871050834656	0.02180325612425804	524572	25
channel_bac_merfish__9__1__8__32__100__20__fdr	channel_bac_merfish	9	32	1	8	fdr	100.0	0.16933269798755646	0.3244873881340027	0.018692268058657646	254534	22
channel_bac_merfish__9__1__8__32__10__20__fdr	channel_bac_merfish	9	32	1	8	fdr	10.0	0.14783744513988495	0.26947182416915894	0.01408156007528305	248626	25
channel_bac_merfish__9__1__8__64__1000__20__fdr	channel_bac_merfish	9	64	1	8	fdr	1000.0	0.3342145085334778	0.519742488861084	0.012874327600002289	250703	25
channel_bac_merfish__9__1__8__64__100__20__fdr	channel_bac_merfish	9	64	1	8	fdr	100.0	0.3003649115562439	0.44448837637901306	0.01159721240401268	246351	25
channel_bac_merfish__9__1__8__64__10__20__fdr	channel_bac_merfish	9	64	1	8	fdr	10.0	0.2765370011329651	0.3827773928642273	0.009005184285342693	246315	25
channel_bac_merfish__9__2__7__128__1000__20__fdr	channel_bac_merfish	9	128	2	7	fdr	1000.0	0.4549487233161926	0.6340178847312927	0.006910580676048994	244371	25
channel_bac_merfish__9__2__7__128__100__20__fdr	channel_bac_merfish	9	128	2	7	fdr	100.0	0.42784804105758667	0.5684357285499573	0.006551257334649563	242591	25
channel_bac_merfish__9__2__7__128__10__20__fdr	channel_bac_merfish	9	128	2	7	fdr	10.0	0.4107445478439331	0.505728542804718	0.005203526467084885	241873	25
channel_bac_merfish__9__2__7__16__1000__20__fdr	channel_bac_merfish	9	16	2	7	fdr	1000.0	0.10526897013187408	0.2883872389793396	0.03378991782665253	189707	15
channel_bac_merfish__9__2__7__16__100__20__fdr	channel_bac_merfish	9	16	2	7	fdr	100.0	0.08701912313699722	0.22049273550510406	0.027347451075911522	191047	18
channel_bac_merfish__9__2__7__16__10__20__fdr	channel_bac_merfish	9	16	2	7	fdr	10.0	0.07531921565532684	0.17519992589950562	0.02017931640148163	168336	17
channel_bac_merfish__9__2__7__32__1000__20__fdr	channel_bac_merfish	9	32	2	7	fdr	1000.0	0.20783917605876923	0.4004890024662018	0.021842313930392265	420334	25
channel_bac_merfish__9__2__7__32__100__20__fdr	channel_bac_merfish	9	32	2	7	fdr	100.0	0.1693243682384491	0.32524192333221436	0.018678689375519753	224102	19
channel_bac_merfish__9__2__7__32__10__20__fdr	channel_bac_merfish	9	32	2	7	fdr	10.0	0.1478344351053238	0.27028435468673706	0.014127424918115139	241629	24
channel_bac_merfish__9__2__7__64__1000__20__fdr	channel_bac_merfish	9	64	2	7	fdr	1000.0	0.3348844051361084	0.5203426480293274	0.012807752005755901	251573	25
channel_bac_merfish__9__2__7__64__100__20__fdr	channel_bac_merfish	9	64	2	7	fdr	100.0	0.3016718029975891	0.4451904892921448	0.011596252210438251	246546	25
channel_bac_merfish__9__2__7__64__10__20__fdr	channel_bac_merfish	9	64	2	7	fdr	10.0	0.2776433825492859	0.38379722833633423	0.009040975011885166	246152	25
sa_bac__second_wave__channel_bac_merfish__10__1__9__128__1000__10__fdr	channel_bac_merfish	10	128	1	9	fdr	1000.0	0.3866921067237854	0.5652902722358704	0.008025171235203743	259731	53
sa_bac__second_wave__channel_bac_merfish__10__1__9__128__100__10__fdr	channel_bac_merfish	10	128	1	9	fdr	100.0	0.35720279812812805	0.493687242269516	0.0074356673285365105	259607	53
sa_bac__second_wave__channel_bac_merfish__10__1__9__128__10__10__fdr	channel_bac_merfish	10	128	1	9	fdr	10.0	0.33677464723587036	0.433206170797348	0.005926057230681181	259342	53
sa_bac__second_wave__channel_bac_merfish__10__1__9__16__1000__10__fdr	channel_bac_merfish	10	16	1	9	fdr	1000.0	0.08036752045154572	0.23173438012599945	0.032076507806777954	403717	53
sa_bac__second_wave__channel_bac_merfish__10__1__9__16__100__10__fdr	channel_bac_merfish	10	16	1	9	fdr	100.0	0.06544020771980286	0.17335443198680878	0.024885203689336777	340275	53
sa_bac__second_wave__channel_bac_merfish__10__1__9__16__10__10__fdr	channel_bac_merfish	10	16	1	9	fdr	10.0	0.0550742968916893	0.13606970012187958	0.018197432160377502	182278	36
sa_bac__second_wave__channel_bac_merfish__10__1__9__256__1000__10__fdr	channel_bac_merfish	10	256	1	9	fdr	1000.0	0.5015079379081726	0.6718323230743408	0.0043589090928435326	257859	53
sa_bac__second_wave__channel_bac_merfish__10__1__9__256__100__10__fdr	channel_bac_merfish	10	256	1	9	fdr	100.0	0.47574925422668457	0.6120143532752991	0.004134715534746647	256227	53
sa_bac__second_wave__channel_bac_merfish__10__1__9__256__10__10__fdr	channel_bac_merfish	10	256	1	9	fdr	10.0	0.46167847514152527	0.552617073059082	0.0033901177812367678	255371	53
sa_bac__second_wave__channel_bac_merfish__10__1__9__32__1000__10__fdr	channel_bac_merfish	10	32	1	9	fdr	1000.0	0.15313920378684998	0.3332687318325043	0.021880261600017548	580167	53
sa_bac__second_wave__channel_bac_merfish__10__1__9__32__100__10__fdr	channel_bac_merfish	10	32	1	9	fdr	100.0	0.1300515979528427	0.2638635039329529	0.017953522503376007	335716	53
sa_bac__second_wave__channel_bac_merfish__10__1__9__32__10__10__fdr	channel_bac_merfish	10	32	1	9	fdr	10.0	0.11334577202796936	0.21637827157974243	0.013604731298983097	320140	53
sa_bac__second_wave__channel_bac_merfish__10__1__9__64__1000__10__fdr	channel_bac_merfish	10	64	1	9	fdr	1000.0	0.25844788551330566	0.44861483573913574	0.013877874240279198	274019	53
sa_bac__second_wave__channel_bac_merfish__10__1__9__64__100__10__fdr	channel_bac_merfish	10	64	1	9	fdr	100.0	0.2249518781900406	0.37368133664131165	0.012075033038854599	264007	53
sa_bac__second_wave__channel_bac_merfish__10__1__9__64__10__10__fdr	channel_bac_merfish	10	64	1	9	fdr	10.0	0.20189416408538818	0.3176460564136505	0.009324364364147186	261173	53
sa_bac__second_wave__channel_bac_merfish__10__2__8__128__1000__10__fdr	channel_bac_merfish	10	128	2	8	fdr	1000.0	0.3874940574169159	0.565544068813324	0.007989308796823025	266022	53
sa_bac__second_wave__channel_bac_merfish__10__2__8__128__100__10__fdr	channel_bac_merfish	10	128	2	8	fdr	100.0	0.3575361371040344	0.4940534830093384	0.007445218041539192	259832	53
sa_bac__second_wave__channel_bac_merfish__10__2__8__128__10__10__fdr	channel_bac_merfish	10	128	2	8	fdr	10.0	0.336967408657074	0.4336940050125122	0.005876558367162943	259556	53
sa_bac__second_wave__channel_bac_merfish__10__2__8__16__1000__10__fdr	channel_bac_merfish	10	16	2	8	fdr	1000.0	0.08036751300096512	0.23248496651649475	0.0321119949221611	679274	53
sa_bac__second_wave__channel_bac_merfish__10__2__8__16__100__10__fdr	channel_bac_merfish	10	16	2	8	fdr	100.0	0.06528446823358536	0.17346055805683136	0.024784401059150696	502403	53
